name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Lithium Battery Packaging,Number of Lithium Ion Cells, ,Peso del envío,Pilas:,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Asus VivoBook L203MA Ultra-Thin Laptop, 11.6” HD, Intel Celeron N4000 Processor (up to 2.6 GHz), 4GB RAM, 64GB eMMC, USB-C, Windows 10 in S Mode, One Year of Microsoft Office 365, L203MA-DS04
                    
                

                
                    
                    
                
            ","$7,709.75",,866 calificaciones,Asus,4.1 de 5 estrellas,Asus,ASUS VivoBook L203,,17 millimeters,19.3 centimeter,11.6 inches,,,Intel Celeron,,4 GB,,DDR4 SDRAM,,64 GB,,,,,,,Integrado,"802.11a/b/g/n/ac, Bluetooth",,,,,38 watt_hours,Baterías integradas en el equipo,2, ,1.5 Kg,"1 Polímero de litio necesaria(s), incluida(s)",L203MA-DS04,24 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo 81D5001ELM Notebook_Computer,, 15inches, All Winner None 2.4GHz, 8GB,, GB,,
                    
                

                
                    
                    
                
            ","$8,999.00"," $11,339.00",2 calificaciones,Lenovo,2.9 de 5 estrellas,Lenovo,81D5001ELM,,10 millimeters,15 centimeter,15 inches,,All winner,None,2.4 GHz,8 GB,DDR3,,1000 GB,500,Disco duro mecánico,Serial ATA,,Integrada,DDR DRAM,,Integrado,Bluetooth,1,,None,Windows 10,,,, ,2.2 Kg,,81D5001ELM,17 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Epik ELL1103T-BK Laptop 11.6'', Intel Atom Quad Core 1.44GHz, 2GB RAM, 32GB HDD, Windows 10, Color Negro
                    
                

                
                    
                    
                
            ","$4,039.00",,2 calificaciones,Epik,1.0 de 5 estrellas,Epik,ELL1103T-BK,Negro,21 centimeter,6.6 centimeter,11.6 inches,,Intel,None,1.44 GHz,2 GB,,,4 GB,,,,,,,,,Bluetooth,,1,,Windows 10,82 watt_hours,Baterías integradas en el equipo,1, ,1.6 Kg,,ELL1103T-BK,27 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        Asus Vivobook S15 S532 Portátil Delgado y Ligero de 15,6"" FHD, Intel Core i5-10210U CPU, 8GB DDR4 RAM, 512 GB PCIe SSD, Windows 10 Home, cámara IR S532FA-DH55, Musgo Verde, 15-15.99 Inches
                    
                

                
                    
                    
                
            ","$22,765.55",,4 calificaciones,Asus,3.7 de 5 estrellas,Asus,VivoBook S15 S532,Musgo verde,18 millimeters,23.1 centimeter,15.6 inches,,Intel,,,8 GB,DDR4,DDR4 SDRAM,12 GB,512 GB,,Solid State,Intel UHD Graphics,Integrated,Shared,8 GB,Integrado,"802.11ax, Bluetooth",2,,No Optical Drive,Windows 10 Home,42 watt_hours,Baterías dentro del paquete del equipo,3, ,2.9 Kg,"1 Lithium Polymer necesaria(s), incluida(s)",S532FA-DH55-GN,21 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        ASUS VivoBook BV123T. Intel Core i3. 8GB RAM. 256 SSD. Windows 10. 14"". Gris
                    
                

                
                    
                    
                
            ","$14,999.01",,5 calificaciones,Asus,5.0 de 5 estrellas,Asus,ASUS VivoBook,TRANSPARENT SILVER,32.2 centimeter,21 centimeter,14 inches,,Intel,None,2.3 GHz,8 GB,,,,,,,,,,,,802.11ac,,,,Windows 10,2.3 watt_hours,Baterías integradas en el equipo,1, ,3 Kg,"1 Litio Ion necesaria(s), incluida(s)",X420UA-BV123T,15 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo COMLEN8360 Laptop IdeaPad L340 Intel Core I5-9300H, 8 GB, 15.6 Pulgadas, Windows 10 Home, 1 TB
                    
                

                
                    
                    
                
            ","$16,999.00"," $19,999.00",4 calificaciones,Lenovo,3.0 de 5 estrellas,Lenovo,COMLEN8360,Negro,25.5 centimeter,24 millimeters,15.6 inches,,Intel,Core i5 Family,2.4,1 TB,DRAM,DDR4 SDRAM,8 GB,1000 GB,Flash Memory Solid State,Serial ATA,NVIDIA GeForce GTX 1050,Integrated,DDR DRAM,,Integrado,802.11bgn,1,1,None,Windows 10 Home,5 watt_hours,Baterías integradas en el equipo,3, ,3.2 Kg,"1 Lithium Polymer necesaria(s), incluida(s)",Ideapad L340-15IRH,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        OMEN by HP Laptop, Pantalla de 15"" FHD, Procesador Intel Core i7-9750H, 16GB RAM, 512GB SSD, Tarjeta gráfica GeForce RTX 2070 8GB, Sistema operativo Win10 Highend, Color Shadow Black, (15-dh0005la)
                    
                

                
                    
                    
                
            ","$41,649.00"," $48,999.00",15 calificaciones,HP,3.5 de 5 estrellas,HP,Omen Laptop 15,,20 millimeters,36 centimeter,15.6 inches,,Intel,None,2.6 GHz,16 GB,,,16 GB,,,,NVIDIA GeForce RTX 2070,,,,,802.11bgn,,4,,Windows 10,,,, ,4.1 Kg,,15-dh0005la,9 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, AMD Ryzen 7 3700U, RX Vega 10 Graphics, 8GB DDR4, 512GB SSD, Teclado retroiluminado, Windows 10 Home, A515-43-R6DE
                    
                

                
                    
                    
                
            ","$18,205.74",,14 calificaciones,Acer,3.9 de 5 estrellas,Acer,A515-43-R6DE,Plateado,18 millimeters,24.7 centimeter,15.6 inches,,AMD,AMD Ryzen 7,4 GHz,8 GB,DDR4,DDR4 SDRAM,16 GB,512 GB,,Solid State,AMD Radeon RX Vega 10,Integrated,Shared,,Integrado,802.11ac,2,,No Optical Drive,Windows 10 Home,3220 milliamp_hours,Baterías integradas en el equipo,3, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",A515-43-R6DE,18 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        MSI PS63 Modern-008 - computadora de sobremesa (procesador Intel Core i7-8565U GTX1050Ti, 16 GB, DDR4, 512 GB, SSD Win10)
                    
                

                
                    
                    
                
            ",,,21 calificaciones,MSI,4.3 de 5 estrellas,MSI,PS63 Modern-008,Gris,15 millimeters,23.4 centimeter,15.6 inches,,Intel,Intel Core i7,1.8 GHz,16 GB,DDR4,DDR4 SDRAM,64 GB,512 GB,,Solid State,NVIDIA GeForce GTX 1050 Ti,Dedicated,GDDR5,,PCI-E,801.11ac,2,,No Optical Drive,Windows 10,,,, ,3.2 Kg,,PS63 Modern-008,8 de marzo de 2019
"
                
                    
                    
                

                
                    
                    
                        HP 2020 15 15.6"" HD Touchscreen Premium Laptop – 10th Gen Intel Core i5-1035G1, 16GB DDR4, 512GB SSD, USB Type-C, HDMI, Windows 10 – Plata W
                    
                

                
                    
                    
                
            ","$20,890.00",,274 calificaciones,HP,4.2 de 5 estrellas,HP,HP i5 touch,,,,15.6 inches,,Intel,Core i5 Family,3.6 GHz,16 GB,DDR4,DDR4 SDRAM,16 GB,512 GB,,Solid State,Intel Graphics_coprocessor,Dedicated,DDR4 SDRAM,,Integrado,"802.11ac, Bluetooth",,,No Optical Drive,Windows 10 Home,35 watt_hours,Baterías integradas en el equipo,3, ,2.4 Kg,"1 Litio Ion necesaria(s), incluida(s)",,10 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer AN515-52-56HV Notebook_Computer,, 15.6inches, All Winner None 2.4GHz, 4GB,, GB,,
                    
                

                
                    
                    
                
            ","$17,988.98"," $19,999.00",13 calificaciones,Acer,4.1 de 5 estrellas,Acer,AN515-52-56HV,Black,10 millimeters,15 centimeter,15.6 inches,,All winner,Intel Core i5,2.4 GHz,4 GB,DDR3L SDRAM,,1000 GB,1000 GB,,,gddr5,,GDDR5,,Desconocido,Bluetooth,,,None,Windows 10,,,, ,3.6 Kg,,AN515-52-56HV,13 de agosto de 2018
"
                
                    
                    
                

                
                    
                    
                        HP- Laptop 15-dy1004la de 15.6""- Core i5- Intel UHD- Memoria 8GB- SSD 256GB+OPTANE 16GB- Plata (Plata)
                    
                

                
                    
                    
                
            ","$16,999.00",,,HP,,HP,,Plata,,,15.6 inches,,Intel,Core i5 8250U,1 GHz,8 GB,,SDRAM,,256 GB,,Solid State,,,,,,,,,,Windows 10,,,, ,2.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",,18 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        ASUS Laptop BV270T. Core i3. 4GB RAM+16 OPTANE. 1TBHDD. 14"" Gris
                    
                

                
                    
                    
                
            ","$9,999.00"," $11,449.00",7 calificaciones,Asus,4.1 de 5 estrellas,Asus,ASUS Laptop,Stary Grey IMR with hairline,32.8 centimeter,24.6 centimeter,14 inches,,Intel,None,2.3 GHz,4 GB,,,,,,,,,,,,802.11bgn,,1,,Windows 10,2.3 watt_hours,Baterías integradas en el equipo,1, ,2.2 Kg,"1 Litio Ion necesaria(s), incluida(s)",X407UA-BV270T,15 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, 10th Gen Intel Core i3-10110U, 4GB DDR4, 128GB PCIe NVMe SSD, Intel Wi-Fi 6 AX201 802.11ax, Backlit KB, Windows 10 in S Mode, A515-54-37U3
                    
                

                
                    
                    
                
            ","$16,950.00",,59 calificaciones,Acer,4.1 de 5 estrellas,Acer,A515-54-37U3,Silver,18 millimeters,25 centimeter,15.6 inches,,Intel,Intel Core i3,4.1 GHz,4 GB,DDR4,DDR4 SDRAM,20 GB,128 GB,,Solid State,Intel UHD Graphics 620,Integrated,Shared,,Integrado,802.11ax,1,,No Optical Drive,Windows 10,3220 milliamp_hours,Baterías integradas en el equipo,4, ,2.6 Kg,"1 Litio Ion necesaria(s), incluida(s)",A515-54-37U3,17 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo ThinkPad T440 - Ordenador portátil (Ultrabook, Black, Clamshell, 2.9, Intel Core i7, i7-4600M)
                    
                

                
                    
                    
                
            ","$6,343.48",,2 calificaciones,Lenovo,3.3 de 5 estrellas,Lenovo,T440,Black,23.2 centimeter,21 millimeters,14 inches,1366 x 768 pixels,Intel,Intel Core i5-4200U,2.9 GHz,4 GB,DDR3-SDRAM,DDR3 SDRAM,12 GB,500 GB,HDD 7200 rpm,,Intel HD Graphics 4400,Intel HD Graphics 4600,,,,802.11ac,,2,None,Windows 8 Pro,47 watt_hours,Baterías dentro del paquete del equipo,6, ,2.9 Kg,"6 Lithium ion necesaria(s), incluida(s)",20B6008EUS,23 de marzo de 2014
"
                
                    
                    
                

                
                    
                    
                        HP Laptop, Pantalla 14"", Procesador Intel Core i5-10210U 10ª generación a 4.2GHz, 8GB RAM, 256GB, Windows 10 (14-dh1010la)
                    
                

                
                    
                    
                
            ","$15,590.00"," $16,399.00",5 calificaciones,HP,3.5 de 5 estrellas,HP,HP Pavilion x360 Convertible 14-dh1010la,,20 millimeters,32.4 centimeter,14 inches,,Intel,None,4.2 GHz,8 GB,DDR4,,8 GB,,Memoria flash de estado sólido,,,intel_iris,WRAM,,Integrado,802.11bgn,1,3,No,Windows 10,,,, ,2.3 Kg,,14-dh1010la,1 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Laptop, Pantalla 15.6"", Procesador Intel Core i7-9750H 9ª generación a 4.5GHz, 16GB RAM, 512 GB SSD +32 GB de Memoria Intel Optane, Windows 10 (15-dc1003la)
                    
                

                
                    
                    
                
            ","$27,199.00"," $33,999.00",1 calificación,HP,5.0 de 5 estrellas,HP,OMEN Laptop 15-dc1003la,,26 millimeters,36 centimeter,15.6 inches,,Intel,None,4.5 GHz,16 GB,DDR4,,16 GB,,Memoria flash de estado sólido,,NVIDIA GeForce GTX 1650,nvidia_geforce_gtx,WRAM,,Integrado,802.11g,1,4,No,Windows 10,,,, ,4 Kg,,15-dc1003la,3 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        HP 14-Inch FHD (1920x1080) WLED-Backlit IPS Display Laptop PC, 10th Gen Intel Quad Core i5-1035G4 Up to 3.7 GHz, 8GB DDR4, 256GB M.2 SSD, Backlit Keyboard, Bluetooth, Windows 10
                    
                

                
                    
                    
                
            ","$18,790.00",,2 calificaciones,HP,3.0 de 5 estrellas,HP,HP FHD i5-1035G4 8G 128GB,Plateado,18 millimeters,22.5 centimeter,14 inches,,Intel,Core i5 Family,1.2 GHz,8 GB,"SDRAM, DDR4",DDR4 SDRAM,8 GB,128 GB,,Serial ATA,Intel UHD Graphics,Integrated,DDR2 SDRAM,,Integrado,802.11a,1,,No Optical Drive,Windows 10,,,, ,1.5 Kg,,HP FHD i5-1035G4 8G 128GB,20 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo YOGA 330-11IGM Laptop 11.6"" HD Táctil, Intel Pentium N5000, 4GB RAM, 128GB SSD, Windows 10
                    
                

                
                    
                    
                
            ",,,51 calificaciones,Lenovo,4.4 de 5 estrellas,Lenovo,YOGA 330-11IGM,Silver,20 millimeters,22 centimeter,11.6 inches,,Intel,None,1.1 GHz,128 GB,DDR4,,16 GB,,Flash Memory Solid State,,,Integrated,DDR DRAM,,Integrado,802.11bgn,1,1,None,Windows 10 Home,2 watt_hours,Baterías integradas en el equipo,2, ,1.7 Kg,,YOGA 330-11IGM,18 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        Huawei Matebook X Pro New - Computadora portátil táctil 13.9"" 3K (Intel Core i7-8565U, 8GB RAM + 512GB SSD, Nvidia GeForce MX250, Windows 10), Color Space Grey
                    
                

                
                    
                    
                
            ","$34,999.00",,5 calificaciones,Huawei,4.0 de 5 estrellas,HUAWEI,Matebook X Pro 2020,,,,13.9 inches,,,,,512 GB,,,,,,,NVIDIA GeForce MX250,,,,,,,,,Windows,,Baterías integradas en el equipo,1, ,2.5 Kg,"1 Polímero de litio necesaria(s), incluida(s)",,14 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        SAMSUNG Galaxy Tab Pro S Blanca+ Multipuerto F-SM-W700NZWAE
                    
                

                
                    
                    
                
            ",,,12 calificaciones,Samsung,4.2 de 5 estrellas,SAMSUNG,,Blanco,,,12 inches,,,,,,,,,,,,,,,,,,,,,Windows 10,,,, ,2 Kg,,F-SM-W700NZWAE,24 de junio de 2016
"
                
                    
                    
                

                
                    
                    
                        Lenovo Ideapad L340 - Laptop de Juego con Microsoft Office Home y Student 2019, Portátil , Negro, 15.6""
                    
                

                
                    
                    
                
            ","$24,698.87",,451 calificaciones,Lenovo,4.4 de 5 estrellas,Lenovo,L340 Gaming,Black,24 millimeters,25.5 centimeter,15.6 inches,1600x1200 pixels,Intel,Intel Core i5,2.4 GHz,8 GB,,SODIMM,8 GB,512 GB,,Solid State,NVIDIA GeForce,,GDDR5,,Integrado,Bluetooth,,,None,Windows 10,45 watt_hours,Baterías integradas en el equipo,3, ,3.2 Kg,"1 Polímero de litio necesaria(s), incluida(s)",81LK00HDUS,6 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Huawei Matebook D 14"", Amd Ryzen, Windows 10, Ssd 512 Gb 8Gb Ram, Color Plateado (Mystic Silver)
                    
                

                
                    
                    
                
            ","$14,999.00"," $16,999.00",4 calificaciones,Huawei,4.3 de 5 estrellas,HUAWEI,"MateBook D 14""",Blanco,,,14 inches,,,,,8 GB,,,,,,,AMD Radeon RX Vega 8,,,,,,,,,Windows,,Baterías integradas en el equipo,1, ,2.1 Kg,"1 Polímero de litio necesaria(s), incluida(s)",,31 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        MSI GL63 - Portátil para Juegos, RTX2060, 120 Hz, i7-9750, 16 GB, 512 GB., 15-15.99 Inches
                    
                

                
                    
                    
                
            ",,,68 calificaciones,MSI,4.2 de 5 estrellas,MSI,GL63 9SEK-473,,29 millimeters,38.3 centimeter,15.6 inches,,Intel,,,16 GB,DDR4,,64 GB,,,Solid State,NVIDIA GeForce RTX 2060,Dedicated,GDDR6,,PCI-E,802.11ac,,,None,Windows 10,51 watt_hours,Baterías integradas en el equipo,6, ,4.2 Kg,"5 Litio Ion necesaria(s), incluida(s)",GL63 9SEK-473,28 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Xiaomi MI Air, Pantalla de13"", Intel Core i5_3330S 3.4GHz, 8GB RAM, 256GB PCLE SSD, Bluetooth+ Wi-Fi, Windows 10 (JYU4065ES)
                    
                

                
                    
                    
                
            ","$23,999.00",,3 calificaciones,MI,1.9 de 5 estrellas,MI,"Mi Air 13.3""",,8.3 centimeter,20 millimeters,13 inches,,Intel,Intel Core i5-3330S,3.4 GHz,8 GB,DDR3,,256 GB,,,,,,,,Integrado,Bluetooth,,2,,Windows 10,,,, ,2.6 Kg,,JYU4065ES,15 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell Inspiron 5391, Pantalla 13.3"", Procesador Core i5 10a. Gen, 8GB RAM, 256 SSD, WIN 10, Color Plata, I5391_i58256SW10s_520
                    
                

                
                    
                    
                
            ",,,,Dell,,Dell,Inspiron Notebooks,,7 millimeters,30.8 centimeter,13.3 inches,,Intel,Intel Core i5,4.4 GHz,8 GB,,,16 GB,,,,,,,,,802.11ac,,,,Windows 10,45 watt_hours,Baterías integradas en el equipo,4, ,2 Kg,"1 Litio Ion necesaria(s), incluida(s)",I5391_i58256SW10s_520,23 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell I3480_i541TBW10s_120 Notebook_Computer,, 14inches, Intel Core_i5 3.9GHz, 4GB,, 1000GB, Windows 10,
                    
                

                
                    
                    
                
            ","$14,249.01",,5 calificaciones,Dell,2.8 de 5 estrellas,Dell,Inspiron,,10 millimeters,33.9 centimeter,14 inches,,Intel,Intel Core i5,3.9 GHz,4 GB,,,4 GB,1000 GB,,,,,,,,802.11ac,,2,,Windows 10,42 watt_hours,Baterías integradas en el equipo,3, ,2.5 Kg,"1 Litio Ion necesaria(s), incluida(s)",I3480_i541TBW10s_120,18 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Pav x360 Convert 14-cd0064lm LTNA, Intel Core 8, 4GB RAM, Windows 10, 1TB
                    
                

                
                    
                    
                
            ","$14,199.00",,2 calificaciones,HP,3.0 de 5 estrellas,HP,HP Pav x360 Convert 14-cd0064lm,,,,14 inches,,Intel,Core i3 8130U,2.20 GHz,4 GB,DDR4,SDRAM,,1 TB,,Serial ATA,,,,,,,,,,Windows 10 Home,,,, ,2.3 Kg,,6QV35LA#ABM,8 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo COMLEN7810 Laptop ThinkPad T490 Intel Core i7-8565U, 8 GB, 14 Pulgadas, Windows 10 Pro, 256 GB SSD
                    
                

                
                    
                    
                
            ","$37,356.37",,,Lenovo,,Lenovo,COMLEN7810,,,,14 inches,,Intel,Core i7 Family,3.9,256 GB,DRAM,,8 GB,,Flash Memory Solid State,,,Integrated,DDR DRAM,,Integrado,,1,1,None,Windows 10 Pro,,,, ,2.4 Kg,,,27 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        ASUS ZenBook Flip 14 Ultra Slim Convertible Laptop, 14"" Full HD Wideview, 8th Gen Intel Core i7-8565U Processor, 16GB LPDDR3, 512GB NVMe PCIe SSD, GeForce MX150, Stylus, Windows 10 - UX461FN-DH74T
                    
                

                
                    
                    
                
            ","$31,699.00",,72 calificaciones,Asus,4.0 de 5 estrellas,Asus,ASUS,,13 millimeters,22.6 centimeter,14 inches,,Intel,Intel Core i7,4.6 GHz,16 GB,DDR3,,16 GB,512 GB,,Solid State,NVIDIA GeForce MX150,,GDDR5,,PCI-E,802.11a/b/g/n/ac,,2,None,Windows 10 Home,57 watt_hours,Baterías integradas en el equipo,3, ,2.7 Kg,"1 Lithium Polymer necesaria(s), incluida(s)",UX461FN-DH74T,1 de diciembre de 2018
"
                
                    
                    
                

                
                    
                    
                        Acer SP314-51-3704 Notebook_Computer, Bluetooth+ Wi-Fi, 14inches, Intel Core_i3_8130u 2.2GHz, 4GB,, 1000GB, Windows 10,
                    
                

                
                    
                    
                
            ","$13,899.00",,,Acer,,Acer,Spin,,21 millimeters,33.5 centimeter,14 inches,,Intel,Core i3 8130U,2.2 GHz,4 GB,,,4 GB,1000 GB,,,,,,,Integrado,802.11ab,,2,,Windows 10,45 watt_hours,Baterías dentro del paquete del equipo,3, ,2.4 Kg,"1 Litio Ion necesaria(s), incluida(s)",SP314-51-3704,16 de agosto de 2018
"
                
                    
                    
                

                
                    
                    
                        Razer Blade Stealth 13 Ultrabook portátil: Intel Core i7-8565U 4-Core, Intel UHD Graphics 620, 13.3"" FHD 1080p, 8 GB de RAM, 256 GB SSD - Aluminio CNC, FHD 1080p., Intel UHD Graphics 620
                    
                

                
                    
                    
                
            ","$41,199.00",,203 calificaciones,Razer,4.2 de 5 estrellas,Razer,Blade Stealth,,15 millimeters,30.2 centimeter,13.3 inches,,Intel,,,16 GB,,,32 GB,,,Solid State,Intel HD Graphics 620,Integrated,GDDR5,,PCI-E,Infrared,2,,None,Windows 10 Home,10 watt_hours,Baterías dentro del paquete del equipo,3, ,2 Kg,"1 Litio Ion necesaria(s), incluida(s)",RZ09-02810E71-R3U1,14 de diciembre de 2018
"
                
                    
                    
                

                
                    
                    
                        HP ENVY x360 Convertible, Pantalla de 15"" FHD, Procesador Intel core 8ª generación, 12GB RAM, 1TB HDD, Sistema operativo Windows 10, Color Silver (15-cn0001la)
                    
                

                
                    
                    
                
            ","$27,999.01",,7 calificaciones,HP,3.9 de 5 estrellas,HP,HP ENVY x360 Convertible,,19 millimeters,35.9 centimeter,15.6 inches,,Intel,Intel Core i5,1.6 GHz,8 GB,,,8 GB,,,,,,,,,802.11bgn,,3,,Windows 10,41 watt_hours,Baterías integradas en el equipo,, ,3.3 Kg,"1 Litio Ion necesaria(s), incluida(s)",15-cn0001la,1 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        HP 15.6"" Home and Business Laptop, 10th Gen Core i5, 32GB RAM, 1TB PCIe SSD, Quad-Core up to 3.60 GHz, USB-C, RJ-45 LAN Hub, HDMI 1.4b 4K, Bluetooth, Win 10
                    
                

                
                    
                    
                
            ","$28,650.00",,2 calificaciones,HP,5.0 de 5 estrellas,HP,850001217040,,18 millimeters,24.2 centimeter,15.6 inches,1366x768,Intel,Intel Core i5,1 GHz,32 GB,DDR4,DDR4 SDRAM,,1 TB,,Solid State,Intel UHD graphics,,,,,802.11ac,,,,Windows 10,,,, ,1.7 Kg,,,9 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        BIT W11046APB Core+ Windows 10 PC Desmontable, Cherry Trail CPU, 4GB RAM 64GB Almacenamiento, HD Touchscreen 11.6"", Negro, Plateado, 11-11.99 Inches
                    
                

                
                    
                    
                
            ","$6,110.01",,3 calificaciones,BIT,2.7 de 5 estrellas,BIT,W11046APS,Silver,17 millimeters,18.3 centimeter,11.6 inches,,Intel,Atom Z8300,1.44 GHz,4 GB,DDR3L,,4 GB,64 GB,,,Intel HD Graphics,Integrated,,,,Bluetooth,2,,None,Windows 10 Home,31.45 watt_hours,Baterías integradas en el equipo,, ,2 Kg,"1 Litio Ion necesaria(s), incluida(s)",W11046APS,3 de octubre de 2016
"
                
                    
                    
                

                
                    
                    
                        Huawei MateBook D 15"" - AMD Ryzen, Windows 10-1TB+256 GB, 8GB RAM,15.6 Pulgadas, Color Plateado (Mystic Silver)
                    
                

                
                    
                    
                
            ","$14,999.00"," $15,999.00",4 calificaciones,Huawei,3.8 de 5 estrellas,HUAWEI,"MateBook D 15""",Negro,,,15.6 inches,,,,,8 GB,DDR4,DDR4 SDRAM,,,,,AMD Radeon RX Vega 8,,,,,,,,,Windows,,Baterías integradas en el equipo,1, ,2.4 Kg,"1 Polímero de litio necesaria(s), incluida(s)",,31 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        2019 Dell Inspiron 14"" Laptop Computer| 10th Gen Intel Quad-Core i5 1035G4 Up to 3.7GHz| 16GB DDR4 RAM| 512GB PCIe SSD| Intel UHD Graphics| 802.11ac WiFi| Bluetooth 4.1| USB 3.1| HDMI| Windows 10
                    
                

                
                    
                    
                
            ","$21,599.00",,3 calificaciones,Dell,4.6 de 5 estrellas,Dell,Inspiron,,20 millimeters,24.2 centimeter,14 inches,1366x768,Intel,Intel Core i5,1.10 GHz,16 GB,DDR4,DDR4 SDRAM,,512 GB,,Solid State,Intel UHD Graphics,,,,,Bluetooth,,,,Windows 10,42 watt_hours,,, ,2.4 Kg,,14 3000,25 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Microsoft Surface - Platino, Intel Core i7, 16GB RAM, 1TB
                    
                

                
                    
                    
                
            ",,,543 calificaciones,Microsoft,4.3 de 5 estrellas,Microsoft,Microsoft,Platinum,34 centimeter,25.3 centimeter,13.5 inches,,AMD,Athlon Dual Core,1.9 GHz,16 GB,DDR3,,4 GB,500 GB,,Solid State,,,,,Integrado,802.11g,,2,None,DOS,45 watt_hours,Baterías integradas en el equipo,1, ,2.3 Kg,"1 Litio Ion necesaria(s), incluida(s)",EUP-00001,8 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        Laptop Gamer Asus ROG G531GT 15.6'' i7 8GB 512GB GTX 1650
                    
                

                
                    
                    
                
            ","$33,450.00",,61 calificaciones,Asus,4.4 de 5 estrellas,Asus,G531GT-BI7N6,Negro,25 millimeters,27.4 centimeter,15.6 inches,,Intel,Intel Core i7,,8 GB,,,8 GB,512 GB,,Solid State,NVIDIA GeForce GTX 1650,nvidia_geforce_gtx,GDDR5,8 GB,Integrado,802.11ac,,,No Optical Drive,Windows 10,70 watt_hours,Baterías integradas en el equipo,3, ,3.8 Kg,"1 Litio-metal necesaria(s), incluida(s)",G531GT-BI7N6,9 de mayo de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell I7380_i5825SW10s_219 Laptop 13.3"", Intel Corei5  3.9GHz, 8GB RAM, 256GB SSD, Windows 10, color Plateado
                    
                

                
                    
                    
                
            ","$20,699.01",,2 calificaciones,Dell,3.5 de 5 estrellas,Dell,Inspiron,Plateado,10 millimeters,31 centimeter,13.3 inches,,Intel,Intel Core i5,3.9 GHz,8 GB,,,8 GB,,,,,,,,,802.11ac,,,,Windows 10,38 watt_hours,Baterías integradas en el equipo,3, ,2.1 Kg,"1 Litio Ion necesaria(s), incluida(s)",I7380_i5825SW10s_219,3 de septiembre de 2018
"
                
                    
                    
                

                
                    
                    
                        MSI Prestige 14 A10SC-058MX NOTEBOOK_COMPUTER, 14inches, Intel core_i7 2.3GHz, 4GB, GB, Windows 10,
                    
                

                
                    
                    
                
            ","$32,790.61",,1 calificación,MSI,5.0 de 5 estrellas,MSI,Prestige 14,Blanco,21.5 centimeter,16 millimeters,14 inches,,Intel,Intel Core i7,2.3 GHz,4 GB,DDR,DDR SDRAM,16 GB,,,,,,,,,802.11ac,,,,Windows 10,52 watt_hours,Baterías dentro del paquete del equipo,, ,3.2 Kg,"1 Polímero de litio necesaria(s), incluida(s)",Prestige 14 A10SC-058MX,1 de octubre de 2019
